# time pixelation values
# data save on: 2023-04-14T17:10:32-03:00
equator	age	stage-pixel	value
180	0	213	1
180	0	214	3
180	0	215	3
180	0	216	3
180	0	217	1
180	0	218	1
180	0	219	1
180	0	220	1
180	0	221	1
180	0	222	1
180	0	223	1
180	0	224	1
180	0	225	1
180	0	226	1
180	0	227	1
180	0	228	1
180	0	229	1
180	0	230	1
180	0	231	1
180	0	232	1
180	0	233	1
180	0	234	3
180	0	235	3
180	0	236	3
180	0	237	3
180	0	238	3
180	0	239	1
180	0	240	3
180	0	241	3
180	0	242	1
180	0	243	1
180	0	244	1
180	0	245	3
180	0	246	3
180	0	247	3
180	0	248	3
180	0	249	3
180	0	250	1
180	0	251	1
180	0	252	1
180	0	253	1
180	0	254	1
180	0	255	1
180	0	256	1
180	0	257	1
180	0	258	1
180	0	259	1
180	0	260	1
180	0	261	1
180	0	262	3
180	0	263	1
180	0	264	1
180	0	265	1
180	0	266	3
180	0	267	3
180	0	268	3
180	0	269	3
180	0	270	3
180	0	271	3
180	0	272	3
180	0	273	3
180	0	274	1
180	0	275	1
180	0	276	3
180	0	277	1
180	0	278	1
180	0	279	1
180	0	280	1
180	0	281	1
180	0	282	1
180	0	283	1
180	0	284	1
180	0	285	3
180	0	286	3
180	0	287	3
180	0	288	3
180	0	289	1
180	0	290	1
180	0	291	3
180	0	292	1
180	0	293	3
180	0	294	3
180	0	295	3
180	0	296	1
180	0	297	3
180	0	298	1
180	0	299	3
180	0	300	3
180	0	301	3
180	0	302	1
180	0	303	1
180	0	304	1
180	0	305	3
180	0	306	3
180	0	307	3
180	0	308	3
180	0	309	3
180	0	310	1
180	0	311	1
180	0	312	1
180	0	313	1
180	0	314	1
180	0	315	1
180	0	316	1
180	0	317	3
180	0	318	3
180	0	319	1
180	0	320	1
180	0	321	1
180	0	322	1
180	0	323	1
180	0	324	1
180	0	325	3
180	0	326	3
180	0	327	3
180	0	328	3
180	0	329	3
180	0	330	3
180	0	331	3
180	0	332	3
180	0	333	3
180	0	334	3
180	0	335	3
180	0	336	3
180	0	337	3
180	0	338	3
180	0	339	3
180	0	340	3
180	0	341	1
180	0	342	3
180	0	343	1
180	0	344	3
180	0	345	1
180	0	346	1
180	0	347	3
180	0	348	3
180	0	349	3
180	0	350	3
180	0	351	3
180	0	352	3
180	0	353	3
180	0	354	3
180	0	355	3
180	0	356	3
180	0	357	3
180	0	358	1
180	0	359	3
180	0	360	3
180	0	361	3
180	0	362	1
180	0	363	3
180	0	364	3
180	0	365	1
180	0	366	1
180	0	367	3
180	0	368	3
180	0	369	3
180	0	370	3
180	0	371	3
180	0	372	1
180	0	373	1
180	0	374	1
180	0	375	1
180	0	376	1
180	0	377	1
180	0	378	1
180	0	379	1
180	0	380	3
180	0	381	3
180	0	382	3
180	0	383	3
180	0	384	3
180	0	385	1
180	0	386	1
180	0	387	3
180	0	388	3
180	0	389	3
180	0	390	3
180	0	391	3
180	0	392	3
180	0	393	3
180	0	394	3
180	0	395	3
180	0	396	3
