equator	plate	pixel	age	stage-pixel
180	0	215	0	215
180	0	215	4500000000	215
180	0	216	0	216
180	0	216	4500000000	216
180	0	217	0	217
180	0	217	4500000000	217
180	0	218	0	218
180	0	218	4500000000	218
180	0	219	0	219
180	0	219	4500000000	219
180	0	220	0	220
180	0	220	4500000000	220
180	0	221	0	221
180	0	221	4500000000	221
180	0	222	0	222
180	0	222	4500000000	222
180	0	223	0	223
180	0	223	4500000000	223
180	0	224	0	224
180	0	224	4500000000	224
180	0	225	0	225
180	0	225	4500000000	225
180	0	226	0	226
180	0	226	4500000000	226
180	0	227	0	227
180	0	227	4500000000	227
180	0	228	0	228
180	0	228	4500000000	228
180	0	229	0	229
180	0	229	4500000000	229
180	0	230	0	230
180	0	230	4500000000	230
180	0	231	0	231
180	0	231	4500000000	231
180	0	232	0	232
180	0	232	4500000000	232
180	0	233	0	233
180	0	233	4500000000	233
180	0	234	0	234
180	0	234	4500000000	234
180	0	235	0	235
180	0	235	4500000000	235
180	0	236	0	236
180	0	236	4500000000	236
180	0	237	0	237
180	0	237	4500000000	237
180	0	238	0	238
180	0	238	4500000000	238
180	0	239	0	239
180	0	239	4500000000	239
180	0	240	0	240
180	0	240	4500000000	240
180	0	241	0	241
180	0	241	4500000000	241
180	0	242	0	242
180	0	242	4500000000	242
180	0	243	0	243
180	0	243	4500000000	243
180	0	244	0	244
180	0	244	4500000000	244
180	0	245	0	245
180	0	245	4500000000	245
180	0	246	0	246
180	0	246	4500000000	246
180	0	247	0	247
180	0	247	4500000000	247
180	0	248	0	248
180	0	248	4500000000	248
180	0	249	0	249
180	0	249	4500000000	249
180	0	250	0	250
180	0	250	4500000000	250
180	0	251	0	251
180	0	251	4500000000	251
180	0	252	0	252
180	0	252	4500000000	252
180	0	253	0	253
180	0	253	4500000000	253
180	0	254	0	254
180	0	254	4500000000	254
180	0	255	0	255
180	0	255	4500000000	255
180	0	256	0	256
180	0	256	4500000000	256
180	0	257	0	257
180	0	257	4500000000	257
180	0	258	0	258
180	0	258	4500000000	258
180	0	259	0	259
180	0	259	4500000000	259
180	0	260	0	260
180	0	260	4500000000	260
180	0	261	0	261
180	0	261	4500000000	261
180	0	262	0	262
180	0	262	4500000000	262
180	0	263	0	263
180	0	263	4500000000	263
180	0	264	0	264
180	0	264	4500000000	264
180	0	265	0	265
180	0	265	4500000000	265
180	0	266	0	266
180	0	266	4500000000	266
180	0	267	0	267
180	0	267	4500000000	267
180	0	268	0	268
180	0	268	4500000000	268
180	0	269	0	269
180	0	269	4500000000	269
180	0	270	0	270
180	0	270	4500000000	270
180	0	271	0	271
180	0	271	4500000000	271
180	0	272	0	272
180	0	272	4500000000	272
180	0	273	0	273
180	0	273	4500000000	273
180	0	274	0	274
180	0	274	4500000000	274
180	0	275	0	275
180	0	275	4500000000	275
180	0	276	0	276
180	0	276	4500000000	276
180	0	277	0	277
180	0	277	4500000000	277
180	0	278	0	278
180	0	278	4500000000	278
180	0	279	0	279
180	0	279	4500000000	279
180	0	280	0	280
180	0	280	4500000000	280
180	0	281	0	281
180	0	281	4500000000	281
180	0	282	0	282
180	0	282	4500000000	282
180	0	283	0	283
180	0	283	4500000000	283
180	0	284	0	284
180	0	284	4500000000	284
180	0	285	0	285
180	0	285	4500000000	285
180	0	286	0	286
180	0	286	4500000000	286
180	0	287	0	287
180	0	287	4500000000	287
180	0	288	0	288
180	0	288	4500000000	288
180	0	289	0	289
180	0	289	4500000000	289
180	0	290	0	290
180	0	290	4500000000	290
180	0	291	0	291
180	0	291	4500000000	291
180	0	292	0	292
180	0	292	4500000000	292
180	0	293	0	293
180	0	293	4500000000	293
180	0	294	0	294
180	0	294	4500000000	294
180	0	295	0	295
180	0	295	4500000000	295
180	0	296	0	296
180	0	296	4500000000	296
180	0	297	0	297
180	0	297	4500000000	297
180	0	298	0	298
180	0	298	4500000000	298
180	0	299	0	299
180	0	299	4500000000	299
180	0	300	0	300
180	0	300	4500000000	300
180	0	301	0	301
180	0	301	4500000000	301
180	0	302	0	302
180	0	302	4500000000	302
180	0	303	0	303
180	0	303	4500000000	303
180	0	304	0	304
180	0	304	4500000000	304
180	0	305	0	305
180	0	305	4500000000	305
180	0	306	0	306
180	0	306	4500000000	306
180	0	307	0	307
180	0	307	4500000000	307
180	0	308	0	308
180	0	308	4500000000	308
180	0	309	0	309
180	0	309	4500000000	309
180	0	310	0	310
180	0	310	4500000000	310
180	0	311	0	311
180	0	311	4500000000	311
180	0	312	0	312
180	0	312	4500000000	312
180	0	313	0	313
180	0	313	4500000000	313
180	0	314	0	314
180	0	314	4500000000	314
180	0	315	0	315
180	0	315	4500000000	315
180	0	316	0	316
180	0	316	4500000000	316
180	0	317	0	317
180	0	317	4500000000	317
180	0	318	0	318
180	0	318	4500000000	318
180	0	319	0	319
180	0	319	4500000000	319
180	0	320	0	320
180	0	320	4500000000	320
180	0	321	0	321
180	0	321	4500000000	321
180	0	322	0	322
180	0	322	4500000000	322
180	0	323	0	323
180	0	323	4500000000	323
180	0	324	0	324
180	0	324	4500000000	324
180	0	325	0	325
180	0	325	4500000000	325
180	0	326	0	326
180	0	326	4500000000	326
180	0	327	0	327
180	0	327	4500000000	327
180	0	328	0	328
180	0	328	4500000000	328
180	0	329	0	329
180	0	329	4500000000	329
180	0	330	0	330
180	0	330	4500000000	330
180	0	331	0	331
180	0	331	4500000000	331
180	0	332	0	332
180	0	332	4500000000	332
180	0	333	0	333
180	0	333	4500000000	333
180	0	334	0	334
180	0	334	4500000000	334
180	0	335	0	335
180	0	335	4500000000	335
180	0	336	0	336
180	0	336	4500000000	336
180	0	337	0	337
180	0	337	4500000000	337
180	0	338	0	338
180	0	338	4500000000	338
180	0	339	0	339
180	0	339	4500000000	339
180	0	340	0	340
180	0	340	4500000000	340
180	0	341	0	341
180	0	341	4500000000	341
180	0	342	0	342
180	0	342	4500000000	342
180	0	343	0	343
180	0	343	4500000000	343
180	0	344	0	344
180	0	344	4500000000	344
180	0	345	0	345
180	0	345	4500000000	345
180	0	346	0	346
180	0	346	4500000000	346
180	0	347	0	347
180	0	347	4500000000	347
180	0	348	0	348
180	0	348	4500000000	348
180	0	349	0	349
180	0	349	4500000000	349
180	0	350	0	350
180	0	350	4500000000	350
180	0	351	0	351
180	0	351	4500000000	351
180	0	352	0	352
180	0	352	4500000000	352
180	0	353	0	353
180	0	353	4500000000	353
180	0	354	0	354
180	0	354	4500000000	354
180	0	355	0	355
180	0	355	4500000000	355
180	0	356	0	356
180	0	356	4500000000	356
180	0	357	0	357
180	0	357	4500000000	357
180	0	358	0	358
180	0	358	4500000000	358
180	0	359	0	359
180	0	359	4500000000	359
180	0	360	0	360
180	0	360	4500000000	360
180	0	361	0	361
180	0	361	4500000000	361
180	0	362	0	362
180	0	362	4500000000	362
180	0	363	0	363
180	0	363	4500000000	363
180	0	364	0	364
180	0	364	4500000000	364
180	0	365	0	365
180	0	365	4500000000	365
180	0	366	0	366
180	0	366	4500000000	366
180	0	367	0	367
180	0	367	4500000000	367
180	0	368	0	368
180	0	368	4500000000	368
180	0	369	0	369
180	0	369	4500000000	369
180	0	370	0	370
180	0	370	4500000000	370
180	0	371	0	371
180	0	371	4500000000	371
180	0	372	0	372
180	0	372	4500000000	372
180	0	373	0	373
180	0	373	4500000000	373
180	0	374	0	374
180	0	374	4500000000	374
180	0	375	0	375
180	0	375	4500000000	375
180	0	376	0	376
180	0	376	4500000000	376
180	0	377	0	377
180	0	377	4500000000	377
180	0	378	0	378
180	0	378	4500000000	378
180	0	379	0	379
180	0	379	4500000000	379
180	0	380	0	380
180	0	380	4500000000	380
180	0	381	0	381
180	0	381	4500000000	381
180	0	382	0	382
180	0	382	4500000000	382
180	0	383	0	383
180	0	383	4500000000	383
180	0	384	0	384
180	0	384	4500000000	384
180	0	385	0	385
180	0	385	4500000000	385
180	0	386	0	386
180	0	386	4500000000	386
180	0	387	0	387
180	0	387	4500000000	387
180	0	388	0	388
180	0	388	4500000000	388
180	0	389	0	389
180	0	389	4500000000	389
180	0	390	0	390
180	0	390	4500000000	390
180	0	391	0	391
180	0	391	4500000000	391
180	0	392	0	392
180	0	392	4500000000	392
180	0	393	0	393
180	0	393	4500000000	393
180	0	394	0	394
180	0	394	4500000000	394
180	0	395	0	395
180	0	395	4500000000	395
180	0	396	0	396
180	0	396	4500000000	396
180	0	397	0	397
180	0	397	4500000000	397
180	0	398	0	398
180	0	398	4500000000	398
180	0	399	0	399
180	0	399	4500000000	399
180	0	400	0	400
180	0	400	4500000000	400
180	0	401	0	401
180	0	401	4500000000	401
180	0	402	0	402
180	0	402	4500000000	402
180	0	403	0	403
180	0	403	4500000000	403
180	0	404	0	404
180	0	404	4500000000	404
180	0	405	0	405
180	0	405	4500000000	405
180	0	406	0	406
180	0	406	4500000000	406
180	0	407	0	407
180	0	407	4500000000	407
180	0	408	0	408
180	0	408	4500000000	408
180	0	409	0	409
180	0	409	4500000000	409
180	0	410	0	410
180	0	410	4500000000	410
180	0	411	0	411
180	0	411	4500000000	411
180	0	412	0	412
180	0	412	4500000000	412
180	0	413	0	413
180	0	413	4500000000	413
180	0	414	0	414
180	0	414	4500000000	414
180	0	415	0	415
180	0	415	4500000000	415
180	0	416	0	416
180	0	416	4500000000	416
180	0	417	0	417
180	0	417	4500000000	417
180	0	418	0	418
180	0	418	4500000000	418
180	0	419	0	419
180	0	419	4500000000	419
180	0	420	0	420
180	0	420	4500000000	420
180	0	421	0	421
180	0	421	4500000000	421
180	0	422	0	422
180	0	422	4500000000	422
180	0	423	0	423
180	0	423	4500000000	423
180	0	424	0	424
180	0	424	4500000000	424
180	0	425	0	425
180	0	425	4500000000	425
180	0	426	0	426
180	0	426	4500000000	426
180	0	427	0	427
180	0	427	4500000000	427
180	0	428	0	428
180	0	428	4500000000	428
180	0	429	0	429
180	0	429	4500000000	429
180	0	430	0	430
180	0	430	4500000000	430
180	0	431	0	431
180	0	431	4500000000	431
180	0	432	0	432
180	0	432	4500000000	432
180	0	433	0	433
180	0	433	4500000000	433
180	0	434	0	434
180	0	434	4500000000	434
180	0	435	0	435
180	0	435	4500000000	435
180	0	436	0	436
180	0	436	4500000000	436
180	0	437	0	437
180	0	437	4500000000	437
180	0	438	0	438
180	0	438	4500000000	438
180	0	439	0	439
180	0	439	4500000000	439
180	0	440	0	440
180	0	440	4500000000	440
180	0	441	0	441
180	0	441	4500000000	441
180	0	442	0	442
180	0	442	4500000000	442
180	0	443	0	443
180	0	443	4500000000	443
180	0	444	0	444
180	0	444	4500000000	444
180	0	445	0	445
180	0	445	4500000000	445
180	0	446	0	446
180	0	446	4500000000	446
180	0	447	0	447
180	0	447	4500000000	447
180	0	448	0	448
180	0	448	4500000000	448
180	0	449	0	449
180	0	449	4500000000	449
180	0	450	0	450
180	0	450	4500000000	450
180	0	451	0	451
180	0	451	4500000000	451
180	0	452	0	452
180	0	452	4500000000	452
180	0	453	0	453
180	0	453	4500000000	453
180	0	454	0	454
180	0	454	4500000000	454
180	0	455	0	455
180	0	455	4500000000	455
180	0	456	0	456
180	0	456	4500000000	456
180	0	457	0	457
180	0	457	4500000000	457
180	0	458	0	458
180	0	458	4500000000	458
180	0	459	0	459
180	0	459	4500000000	459
180	0	460	0	460
180	0	460	4500000000	460
180	0	461	0	461
180	0	461	4500000000	461
180	0	462	0	462
180	0	462	4500000000	462
180	0	463	0	463
180	0	463	4500000000	463
180	0	464	0	464
180	0	464	4500000000	464
180	0	465	0	465
180	0	465	4500000000	465
180	0	466	0	466
180	0	466	4500000000	466
180	0	467	0	467
180	0	467	4500000000	467
180	0	468	0	468
180	0	468	4500000000	468
180	0	469	0	469
180	0	469	4500000000	469
180	0	470	0	470
180	0	470	4500000000	470
180	0	471	0	471
180	0	471	4500000000	471
180	0	472	0	472
180	0	472	4500000000	472
180	0	473	0	473
180	0	473	4500000000	473
180	0	474	0	474
180	0	474	4500000000	474
180	0	475	0	475
180	0	475	4500000000	475
180	0	476	0	476
180	0	476	4500000000	476
180	0	477	0	477
180	0	477	4500000000	477
180	0	478	0	478
180	0	478	4500000000	478
180	0	479	0	479
180	0	479	4500000000	479
180	0	480	0	480
180	0	480	4500000000	480
180	0	481	0	481
180	0	481	4500000000	481
180	0	482	0	482
180	0	482	4500000000	482
180	0	483	0	483
180	0	483	4500000000	483
180	0	484	0	484
180	0	484	4500000000	484
180	0	485	0	485
180	0	485	4500000000	485
180	0	486	0	486
180	0	486	4500000000	486
180	0	487	0	487
180	0	487	4500000000	487
180	0	488	0	488
180	0	488	4500000000	488
180	0	489	0	489
180	0	489	4500000000	489
180	0	490	0	490
180	0	490	4500000000	490
180	0	491	0	491
180	0	491	4500000000	491
180	0	492	0	492
180	0	492	4500000000	492
180	0	493	0	493
180	0	493	4500000000	493
180	0	494	0	494
180	0	494	4500000000	494
180	0	495	0	495
180	0	495	4500000000	495
180	0	496	0	496
180	0	496	4500000000	496
180	0	497	0	497
180	0	497	4500000000	497
180	0	498	0	498
180	0	498	4500000000	498
180	0	499	0	499
180	0	499	4500000000	499
180	0	500	0	500
180	0	500	4500000000	500
180	0	501	0	501
180	0	501	4500000000	501
180	0	502	0	502
180	0	502	4500000000	502
180	0	503	0	503
180	0	503	4500000000	503
180	0	504	0	504
180	0	504	4500000000	504
180	0	505	0	505
180	0	505	4500000000	505
180	0	506	0	506
180	0	506	4500000000	506
180	0	507	0	507
180	0	507	4500000000	507
180	0	508	0	508
180	0	508	4500000000	508
180	0	509	0	509
180	0	509	4500000000	509
180	0	510	0	510
180	0	510	4500000000	510
180	0	511	0	511
180	0	511	4500000000	511
180	0	512	0	512
180	0	512	4500000000	512
180	0	513	0	513
180	0	513	4500000000	513
180	0	514	0	514
180	0	514	4500000000	514
180	0	515	0	515
180	0	515	4500000000	515
180	0	516	0	516
180	0	516	4500000000	516
180	0	517	0	517
180	0	517	4500000000	517
180	0	518	0	518
180	0	518	4500000000	518
180	0	519	0	519
180	0	519	4500000000	519
180	0	520	0	520
180	0	520	4500000000	520
180	0	521	0	521
180	0	521	4500000000	521
180	0	522	0	522
180	0	522	4500000000	522
180	0	523	0	523
180	0	523	4500000000	523
180	0	524	0	524
180	0	524	4500000000	524
180	0	525	0	525
180	0	525	4500000000	525
180	0	526	0	526
180	0	526	4500000000	526
180	0	527	0	527
180	0	527	4500000000	527
180	0	528	0	528
180	0	528	4500000000	528
180	0	529	0	529
180	0	529	4500000000	529
180	0	530	0	530
180	0	530	4500000000	530
180	0	531	0	531
180	0	531	4500000000	531
180	0	532	0	532
180	0	532	4500000000	532
180	0	533	0	533
180	0	533	4500000000	533
180	0	534	0	534
180	0	534	4500000000	534
180	0	535	0	535
180	0	535	4500000000	535
180	0	536	0	536
180	0	536	4500000000	536
180	0	537	0	537
180	0	537	4500000000	537
180	0	538	0	538
180	0	538	4500000000	538
180	0	539	0	539
180	0	539	4500000000	539
180	0	540	0	540
180	0	540	4500000000	540
180	0	541	0	541
180	0	541	4500000000	541
180	0	542	0	542
180	0	542	4500000000	542
180	0	543	0	543
180	0	543	4500000000	543
180	0	544	0	544
180	0	544	4500000000	544
180	0	545	0	545
180	0	545	4500000000	545
180	0	546	0	546
180	0	546	4500000000	546
180	0	547	0	547
180	0	547	4500000000	547
180	0	548	0	548
180	0	548	4500000000	548
180	0	549	0	549
180	0	549	4500000000	549
180	0	550	0	550
180	0	550	4500000000	550
180	0	551	0	551
180	0	551	4500000000	551
180	0	552	0	552
180	0	552	4500000000	552
180	0	553	0	553
180	0	553	4500000000	553
180	0	554	0	554
180	0	554	4500000000	554
180	0	555	0	555
180	0	555	4500000000	555
180	0	556	0	556
180	0	556	4500000000	556
180	0	557	0	557
180	0	557	4500000000	557
180	0	558	0	558
180	0	558	4500000000	558
180	0	559	0	559
180	0	559	4500000000	559
180	0	560	0	560
180	0	560	4500000000	560
180	0	561	0	561
180	0	561	4500000000	561
180	0	562	0	562
180	0	562	4500000000	562
180	0	563	0	563
180	0	563	4500000000	563
180	0	564	0	564
180	0	564	4500000000	564
180	0	565	0	565
180	0	565	4500000000	565
180	0	566	0	566
180	0	566	4500000000	566
180	0	567	0	567
180	0	567	4500000000	567
180	0	568	0	568
180	0	568	4500000000	568
180	0	569	0	569
180	0	569	4500000000	569
180	0	570	0	570
180	0	570	4500000000	570
180	0	571	0	571
180	0	571	4500000000	571
180	0	572	0	572
180	0	572	4500000000	572
180	0	573	0	573
180	0	573	4500000000	573
180	0	574	0	574
180	0	574	4500000000	574
180	0	575	0	575
180	0	575	4500000000	575
180	0	576	0	576
180	0	576	4500000000	576
180	0	577	0	577
180	0	577	4500000000	577
180	0	578	0	578
180	0	578	4500000000	578
180	0	579	0	579
180	0	579	4500000000	579
180	0	580	0	580
180	0	580	4500000000	580
180	0	581	0	581
180	0	581	4500000000	581
180	0	582	0	582
180	0	582	4500000000	582
180	0	583	0	583
180	0	583	4500000000	583
180	0	584	0	584
180	0	584	4500000000	584
180	0	585	0	585
180	0	585	4500000000	585
180	0	586	0	586
180	0	586	4500000000	586
180	0	587	0	587
180	0	587	4500000000	587
180	0	588	0	588
180	0	588	4500000000	588
180	0	589	0	589
180	0	589	4500000000	589
180	0	590	0	590
180	0	590	4500000000	590
180	0	591	0	591
180	0	591	4500000000	591
180	0	592	0	592
180	0	592	4500000000	592
180	0	593	0	593
180	0	593	4500000000	593
180	0	594	0	594
180	0	594	4500000000	594
180	0	595	0	595
180	0	595	4500000000	595
180	0	596	0	596
180	0	596	4500000000	596
180	0	597	0	597
180	0	597	4500000000	597
180	0	598	0	598
180	0	598	4500000000	598
180	0	599	0	599
180	0	599	4500000000	599
180	0	600	0	600
180	0	600	4500000000	600
180	0	601	0	601
180	0	601	4500000000	601
180	0	602	0	602
180	0	602	4500000000	602
180	0	603	0	603
180	0	603	4500000000	603
180	0	604	0	604
180	0	604	4500000000	604
180	0	605	0	605
180	0	605	4500000000	605
